,carat,cut,color,clarity,depth,table,x,y,z
3123,1.43,4,5,2.0,61.5,58.0,7.27,7.22,4.45
3124,1.26,4,3,2.0,62.1,57.0,6.94,6.88,4.29
3125,1.51,2,5,2.5,62.0,59.0,7.18,7.37,4.51
3126,0.3,5,5,3.0,61.8,53.0,4.32,4.36,2.68
3127,0.5,3,3,5.0,61.4,61.0,5.14,5.03,3.12
3128,0.31,4,5,4.0,59.7,59.0,4.49,4.45,2.67
3129,0.88,5,5,1.5,62.2,56.0,6.11,6.17,3.82
3130,1.01,5,4,3.5,62.5,56.0,6.38,6.41,4.0
3131,0.5,2,7,2.5,63.3,54.0,5.04,5.07,3.2
3132,0.55,3,6,1.5,62.5,54.0,5.21,5.25,3.27
3133,1.01,3,5,1.5,62.7,56.0,6.35,6.4,4.0
3134,1.51,4,5,2.0,62.2,58.0,7.32,7.27,4.54
3135,0.78,5,4,2.5,62.2,57.0,5.87,5.9,3.66
3136,0.26,5,5,4.0,60.3,56.0,4.15,4.17,2.51
3137,0.3,4,6,2.0,62.3,58.0,4.32,4.29,2.68
3138,1.04,4,5,2.5,59.6,62.0,6.62,6.56,3.93
3139,0.91,4,6,2.0,60.5,61.0,6.23,6.19,3.76
3140,0.51,2,4,4.0,63.2,58.0,5.08,5.11,3.22
3141,1.5,1,5,2.0,64.6,60.0,7.18,7.1,4.61
3142,0.32,4,4,2.5,60.7,58.0,4.42,4.38,2.67
3143,1.07,4,5,2.0,61.7,58.0,6.58,6.62,4.07
3144,0.4,3,4,2.0,61.1,61.0,4.7,4.76,2.89
3145,0.31,5,7,2.0,62.7,56.0,4.32,4.36,2.72
3146,1.03,5,5,4.0,62.1,56.3,6.43,6.5,4.02
3147,0.52,5,5,4.0,62.3,56.0,5.14,5.16,3.21
3148,0.4,5,6,4.0,62.4,57.0,4.67,4.72,2.93
3149,2.01,3,3,2.0,61.5,60.0,8.09,8.01,4.95
3150,2.07,5,4,1.5,62.2,54.0,8.16,8.21,5.09
3151,0.77,4,6,1.5,60.8,58.0,5.96,5.98,3.63
3152,0.79,3,6,4.0,63.1,60.0,5.88,5.84,3.7
3153,1.13,5,4,2.5,61.9,56.0,6.68,6.71,4.14
3154,0.34,5,6,1.5,62.9,56.0,4.48,4.45,2.81
3155,0.9,3,6,1.5,62.2,54.0,6.13,6.21,3.84
3156,0.54,2,7,3.0,63.2,56.0,5.21,5.23,3.3
3157,0.54,5,5,2.0,61.5,55.0,5.23,5.28,3.23
3158,0.3,2,5,4.0,63.7,59.0,4.24,4.17,2.68
3159,1.23,5,2,3.0,61.5,56.0,6.86,6.89,4.23
3160,0.41,5,6,3.5,61.9,56.0,4.75,4.78,2.95
3161,0.7,4,6,1.5,61.8,59.0,5.69,5.76,3.54
3162,0.3,5,2,3.0,62.2,53.9,4.29,4.33,2.68
3163,0.4,2,6,1.5,63.9,57.0,4.65,4.71,2.99
3164,0.71,5,1,3.0,62.3,55.0,5.7,5.73,3.56
3165,0.51,3,4,2.5,62.9,54.0,5.08,5.12,3.21
3166,0.32,5,4,4.0,60.2,56.0,4.49,4.45,2.69
3167,0.31,5,3,4.0,62.0,55.0,4.34,4.37,2.7
3168,2.0,2,4,2.0,59.1,61.0,8.14,8.18,4.82
3169,1.02,2,4,4.0,63.6,58.0,6.37,6.4,4.06
3170,1.16,4,4,3.0,61.9,58.0,6.72,6.76,4.17
3171,0.57,4,7,2.5,60.8,59.0,5.38,5.34,3.26
3172,1.12,3,7,1.5,61.2,60.0,6.63,6.67,4.07
3173,0.72,3,6,2.5,63.0,58.0,5.69,5.73,3.6
3174,0.33,5,2,2.0,61.5,57.0,4.46,4.49,2.75
3175,0.23,3,4,4.0,61.5,56.0,3.92,3.96,2.42
3176,1.2,3,2,3.0,62.4,56.0,6.78,6.74,4.22
3177,1.04,1,5,2.0,66.9,62.0,6.22,6.15,4.14
3178,1.72,4,4,3.0,59.4,60.0,7.82,7.86,4.66
3179,0.38,4,1,2.0,61.3,59.0,4.62,4.68,2.85
3180,0.7,2,7,3.5,63.6,57.0,5.61,5.58,3.56
3181,0.44,4,5,2.5,62.2,58.0,4.83,4.88,3.02
3182,0.23,5,5,3.5,61.0,57.0,3.98,4.02,2.44
3183,0.53,2,1,2.5,63.8,57.0,5.1,5.12,3.26
3184,1.52,4,3,1.5,62.0,58.0,7.37,7.34,4.56
3185,0.23,4,3,3.0,59.4,61.0,4.05,4.0,2.39
3186,0.31,5,4,4.0,62.6,53.0,4.37,4.38,2.74
3187,0.63,4,6,2.0,61.3,58.0,5.57,5.52,3.4
3188,0.9,2,7,2.0,63.8,58.0,6.09,6.13,3.9
3189,1.43,4,7,2.5,62.6,59.0,7.19,7.21,4.51
3190,1.7,5,2,2.5,61.7,56.0,7.72,7.64,4.74
3191,0.85,2,1,2.0,59.2,64.0,6.17,6.13,3.64
3192,0.33,5,6,2.5,61.6,57.0,4.46,4.44,2.74
3193,0.3,3,3,3.5,61.0,61.0,4.3,4.32,2.63
3194,0.36,5,5,1.5,61.2,56.0,4.61,4.64,2.83
3195,1.54,4,4,2.5,60.9,59.0,7.49,7.45,4.55
3196,1.02,5,4,2.5,60.6,56.0,6.56,6.52,3.96
3197,0.7,4,5,2.5,62.5,56.0,5.67,5.63,3.53
3198,1.0,2,4,2.5,58.6,65.0,6.61,6.53,3.85
3199,1.72,4,3,2.5,61.9,56.0,7.74,7.67,4.77
3200,0.33,5,6,4.0,61.9,57.0,4.43,4.46,2.75
3201,0.7,4,7,1.5,59.5,60.0,5.78,5.73,3.43
3202,0.38,5,5,3.0,62.4,54.0,4.68,4.64,2.91
3203,1.5,3,1,2.5,62.6,58.0,7.25,7.29,4.55
3204,1.58,5,6,2.5,62.7,56.0,7.45,7.55,4.7
3205,2.01,4,1,2.5,61.5,60.0,8.13,8.07,4.98
3206,1.53,3,3,1.5,61.4,60.0,7.36,7.43,4.54
3207,0.38,5,7,1.5,62.0,53.0,4.68,4.71,2.91
3208,0.5,4,6,2.5,60.1,61.0,5.2,5.15,3.11
3209,2.12,4,3,1.5,62.3,58.0,8.25,8.16,5.12
3210,1.01,5,4,3.5,61.1,57.0,6.49,6.54,3.98
3211,0.3,4,7,1.5,61.8,58.0,4.32,4.29,2.66
3212,1.04,3,4,2.5,61.8,56.0,6.47,6.5,4.01
3213,0.5,3,4,3.0,62.7,59.0,5.04,5.07,3.17
3214,0.3,5,1,3.5,62.0,54.0,4.3,4.34,2.68
3215,1.15,2,3,2.5,63.1,56.0,6.62,6.7,4.2
3216,0.9,5,6,1.5,61.7,56.0,6.21,6.26,3.85
3217,1.56,2,2,2.5,57.2,62.0,7.72,7.66,4.4
3218,1.05,5,5,2.5,59.1,57.0,6.67,6.66,3.94
3219,0.33,5,5,3.5,61.4,56.0,4.49,4.44,2.74
3220,0.31,2,4,3.0,63.3,56.0,4.29,4.33,2.73
3221,0.29,3,3,3.5,62.2,54.0,4.23,4.26,2.64
3222,0.7,5,3,4.0,62.3,55.0,5.66,5.7,3.54
3223,1.14,5,4,2.5,61.5,57.0,6.72,6.68,4.12
3224,0.41,5,7,3.0,61.9,56.0,4.76,4.8,2.96
3225,0.35,5,5,2.5,62.1,57.0,4.53,4.55,2.82
3226,0.7,5,4,2.5,60.0,57.0,5.8,5.84,3.49
3227,0.3,5,7,3.0,61.0,57.0,4.32,4.31,2.63
3228,1.5,4,1,1.5,61.3,59.0,7.38,7.33,4.51
3229,0.7,1,5,2.5,65.3,55.0,5.63,5.58,3.66
3230,0.32,5,4,3.0,61.3,57.0,4.37,4.4,2.69
3231,0.53,5,5,2.0,62.4,57.0,5.21,5.18,3.24
3232,1.52,5,3,1.5,62.0,60.0,7.31,7.37,4.55
3233,0.7,5,7,2.5,62.7,57.0,5.65,5.67,3.55
3234,1.01,3,5,1.5,61.0,60.0,6.42,6.46,3.93
3235,0.23,5,4,3.0,61.6,55.0,3.96,3.99,2.45
3236,0.92,5,4,2.0,62.6,56.0,6.21,6.19,3.88
3237,1.11,3,3,2.0,63.2,58.0,6.53,6.61,4.15
3238,0.76,5,3,1.5,63.0,56.0,5.81,5.84,3.67
3239,1.27,4,2,3.0,62.2,59.0,6.92,6.87,4.29
3240,1.25,3,3,2.5,62.9,60.0,6.77,6.83,4.28
3241,0.9,5,4,1.5,60.7,57.0,6.19,6.33,3.8
3242,1.05,3,2,2.5,62.4,59.0,6.48,6.51,4.05
3243,1.5,3,6,2.0,60.5,63.0,7.42,7.35,4.48
3244,0.9,4,7,2.0,61.8,59.0,6.13,6.11,3.78
3245,1.05,5,3,2.0,61.8,56.0,6.52,6.58,4.05
3246,0.3,3,4,3.0,63.4,58.0,4.25,4.23,2.69
3247,1.01,4,3,2.0,62.3,58.0,6.44,6.4,4.0
3248,2.72,1,1,1.0,68.2,56.0,8.46,8.43,5.76
3249,0.32,4,4,2.0,59.6,60.0,4.46,4.43,2.65
3250,0.45,5,2,3.0,61.6,54.0,4.95,4.99,3.06
3251,0.34,4,4,2.5,60.2,58.0,4.55,4.52,2.73
3252,0.45,5,7,1.5,62.0,55.0,4.92,4.95,3.06
3253,0.41,2,2,2.0,63.8,57.0,4.67,4.7,2.99
3254,0.4,5,2,2.0,61.6,56.0,4.74,4.68,2.9
3255,0.71,4,4,3.0,60.9,58.0,5.77,5.73,3.5
3256,0.33,5,4,4.0,60.8,56.0,4.46,4.42,2.7
3257,0.53,5,4,2.0,62.4,55.0,5.21,5.18,3.24
3258,1.07,5,3,1.5,62.8,56.0,6.5,6.56,4.1
3259,0.23,4,6,4.0,61.1,60.0,4.01,3.95,2.43
3260,1.25,4,3,2.0,59.4,62.0,7.07,7.0,4.18
3261,0.42,5,5,4.0,61.3,56.0,4.82,4.83,2.96
3262,1.0,1,3,1.5,66.1,59.0,6.18,6.13,4.07
3263,1.06,3,2,2.0,60.2,59.0,6.62,6.67,4.0
3264,1.0,1,4,3.5,66.9,55.0,6.2,6.17,4.14
3265,2.01,4,1,2.5,61.8,61.0,8.06,7.97,4.95
3266,0.82,4,3,3.0,62.5,59.0,5.96,5.94,3.72
3267,0.3,3,3,3.5,62.8,57.0,4.22,4.25,2.66
3268,0.91,4,6,3.0,62.7,59.0,6.19,6.15,3.87
3269,0.34,5,6,4.0,62.3,56.0,4.48,4.45,2.78
3270,0.32,5,5,3.0,61.3,55.0,4.43,4.46,2.72
3271,0.51,3,1,2.5,61.6,58.0,5.09,5.14,3.15
3272,1.1,4,7,2.5,58.2,57.0,6.81,6.77,3.95
3273,1.06,5,7,1.5,61.2,57.0,6.59,6.51,4.01
3274,0.27,5,4,2.0,62.2,54.0,4.13,4.17,2.58
3275,0.77,5,5,3.0,61.9,54.0,5.91,5.94,3.66
3276,0.32,4,3,2.5,61.9,58.0,4.37,4.39,2.71
3277,0.23,3,7,4.0,60.5,55.0,4.01,4.02,2.43
3278,0.58,2,5,3.5,62.2,61.0,5.37,5.44,3.36
3279,0.72,5,4,3.0,62.7,55.0,5.71,5.68,3.57
3280,1.71,4,7,1.5,60.6,60.0,7.76,7.69,4.68
3281,0.51,2,6,3.5,60.7,57.7,5.17,5.19,3.14
3282,1.67,5,5,1.5,62.4,54.0,7.6,7.63,4.75
3283,1.16,5,4,2.0,60.9,57.0,6.79,6.75,4.12
3284,0.7,4,4,2.5,62.9,62.0,5.63,5.57,3.52
3285,0.31,4,4,2.5,61.5,59.0,4.36,4.32,2.67
3286,0.32,4,5,4.0,62.7,60.0,4.35,4.32,2.72
3287,0.43,5,7,3.0,61.9,55.0,4.85,4.87,3.01
3288,0.24,3,5,3.5,58.0,60.0,4.09,4.12,2.38
3289,0.7,4,5,2.0,62.5,59.0,5.65,5.67,3.54
3290,1.64,4,3,2.0,59.3,61.0,7.68,7.64,4.54
3291,1.24,3,4,2.0,61.8,59.0,6.85,6.88,4.24
3292,0.71,5,6,3.5,61.7,56.0,5.78,5.8,3.57
3293,0.5,5,5,2.5,61.2,57.0,5.1,5.13,3.13
3294,0.57,5,6,3.0,61.4,57.0,5.32,5.37,3.28
3295,1.06,5,4,1.5,62.3,55.0,6.54,6.49,4.06
3296,0.42,3,2,3.5,61.7,55.0,4.81,4.85,2.98
3297,0.32,4,4,2.0,62.6,58.0,4.37,4.35,2.73
3298,0.71,3,5,1.5,62.8,58.0,5.63,5.7,3.56
3299,0.32,4,3,3.5,62.1,58.0,4.39,4.34,2.71
3300,0.51,3,6,3.0,61.0,59.0,5.13,5.17,3.14
3301,1.2,5,3,3.0,61.9,57.0,6.77,6.73,4.18
3302,0.96,4,7,1.5,60.0,60.0,6.47,6.43,3.87
3303,0.72,3,6,2.0,63.3,56.0,5.67,5.71,3.6
3304,0.91,3,5,2.5,60.8,57.0,6.24,6.25,3.8
3305,1.24,3,1,3.0,62.4,59.4,6.81,6.89,4.27
3306,0.5,5,6,2.5,62.8,57.0,5.12,5.04,3.19
3307,1.03,4,3,2.5,61.8,58.0,6.48,6.43,3.99
3308,0.47,5,2,2.5,62.1,53.0,4.99,5.02,3.11
3309,0.28,3,4,2.5,61.3,57.0,4.21,4.24,2.59
3310,1.0,5,1,3.0,62.3,56.0,6.43,6.38,3.99
3311,0.32,5,4,5.0,61.0,57.0,4.44,4.48,2.72
3312,1.28,5,1,2.0,61.2,57.0,7.02,6.96,4.28
3313,0.9,4,2,3.5,60.9,59.0,6.25,6.22,3.8
3314,0.3,4,5,2.5,61.4,60.0,4.3,4.27,2.63
3315,0.72,5,6,2.5,62.8,57.0,5.71,5.73,3.59
3316,1.01,4,6,2.0,62.8,58.0,6.38,6.33,3.99
3317,0.34,5,6,4.0,61.0,57.0,4.53,4.55,2.77
3318,1.2,5,5,3.0,62.0,55.0,6.81,6.83,4.23
3319,0.5,5,4,3.5,61.0,56.0,5.13,5.14,3.13
3320,0.7,5,6,2.0,60.2,57.0,5.78,5.82,3.49
3321,0.52,4,4,2.0,59.7,60.0,5.22,5.2,3.11
3322,0.3,5,4,4.0,61.4,58.0,4.31,4.35,2.66
3323,0.36,5,7,2.5,61.7,55.0,4.6,4.58,2.83
3324,0.8,2,5,2.0,63.8,59.0,5.83,5.87,3.73
3325,0.7,3,7,4.0,61.5,63.0,5.78,5.64,3.51
3326,0.4,5,5,3.5,62.0,56.0,4.73,4.76,2.94
3327,0.8,4,1,2.0,61.4,57.0,5.98,5.95,3.66
3328,0.51,2,4,2.0,63.1,64.0,5.08,5.03,3.19
3329,1.0,2,5,5.0,60.7,64.0,6.42,6.4,3.89
3330,1.68,5,4,3.0,62.0,55.0,7.59,7.66,4.73
3331,1.62,3,3,2.0,62.2,58.0,7.46,7.5,4.65
3332,1.51,5,6,1.5,62.7,55.0,7.27,7.18,4.53
3333,0.9,3,3,3.5,63.5,55.0,6.14,6.08,3.88
3334,0.81,4,5,2.0,61.9,59.0,5.97,5.95,3.69
3335,0.56,5,5,2.5,62.6,55.0,5.25,5.29,3.3
3336,0.3,5,4,4.0,61.7,55.0,4.31,4.35,2.67
3337,0.32,4,4,2.5,62.0,58.0,4.33,4.38,2.7
3338,0.51,5,7,2.0,61.6,56.0,5.1,5.12,3.15
3339,1.0,5,4,2.5,58.9,60.0,6.53,6.58,3.86
3340,0.4,3,7,2.0,63.0,57.0,4.66,4.7,2.95
3341,0.71,5,6,2.0,61.9,55.0,5.74,5.77,3.56
3342,0.71,4,2,3.5,61.9,60.0,5.69,5.75,3.54
3343,0.9,5,3,3.0,62.2,56.0,6.16,6.18,3.84
3344,1.3,5,4,2.5,61.9,55.0,7.01,7.04,4.35
3345,1.25,3,4,4.0,60.2,58.0,6.97,7.04,4.22
3346,0.53,5,4,2.5,60.9,57.0,5.25,5.26,3.2
3347,1.01,2,6,2.0,64.3,59.0,6.34,6.31,4.07
3348,1.05,5,4,3.5,62.5,55.0,6.49,6.53,4.07
3349,0.31,4,4,4.0,60.2,59.0,4.38,4.43,2.65
3350,0.32,2,4,2.5,63.1,57.0,4.3,4.35,2.73
3351,0.43,5,4,3.5,61.9,55.0,4.84,4.86,3.0
3352,2.0,3,1,1.5,62.1,63.0,7.96,7.85,4.91
3353,1.01,3,4,3.0,63.2,58.0,6.38,6.34,4.02
3354,0.3,5,7,1.5,60.2,56.0,4.37,4.4,2.64
3355,0.75,5,5,1.5,62.6,55.0,5.86,5.81,3.65
3356,0.7,5,1,2.5,61.8,53.0,5.73,5.76,3.55
3357,0.32,5,5,4.0,61.5,56.0,4.41,4.43,2.72
3358,1.07,4,4,2.5,61.9,58.0,6.54,6.55,4.05
3359,2.14,4,2,2.0,59.5,59.0,8.42,8.36,4.99
3360,2.04,3,2,2.0,63.6,60.0,7.97,7.86,5.03
3361,1.02,5,3,2.5,62.4,57.0,6.4,6.35,3.98
3362,1.0,1,2,1.0,64.5,58.0,6.33,6.1,4.01
3363,0.76,5,7,2.5,61.2,57.0,5.89,5.91,3.61
3364,0.51,5,3,2.0,61.3,57.0,5.1,5.14,3.14
3365,1.01,4,3,2.0,62.1,60.0,6.43,6.39,3.98
3366,1.52,4,7,1.5,61.5,60.0,7.44,7.39,4.56
3367,1.12,4,6,1.5,62.4,58.0,6.59,6.64,4.13
3368,1.0,4,7,2.0,60.3,59.0,6.44,6.47,3.89
3369,0.36,4,7,1.5,60.0,58.0,4.58,4.62,2.76
3370,0.28,5,5,3.5,61.6,55.0,4.22,4.26,2.61
3371,0.7,5,4,2.0,62.2,56.0,5.72,5.69,3.55
3372,0.94,2,7,2.0,63.6,56.0,6.25,6.2,3.96
3373,0.31,4,2,3.5,61.6,59.0,4.33,4.31,2.66
3374,1.01,3,4,2.0,62.9,54.0,6.41,6.47,4.05
3375,1.6,2,3,3.0,59.9,61.0,7.59,7.56,4.54
3376,0.24,3,6,3.5,63.3,57.0,3.95,3.98,2.51
3377,0.4,3,4,2.0,61.0,56.0,4.77,4.8,2.92
3378,0.92,3,1,2.0,62.6,58.0,6.18,6.22,3.88
3379,0.32,5,7,2.5,61.9,55.0,4.44,4.41,2.74
3380,2.02,2,2,2.5,57.9,62.0,8.28,8.36,4.82
3381,0.32,5,6,5.0,61.4,56.0,4.38,4.42,2.7
3382,1.2,5,3,3.0,62.5,57.0,6.81,6.73,4.23
3383,1.2,4,4,3.0,62.4,59.0,6.73,6.69,4.19
3384,1.29,5,6,3.5,59.8,59.0,7.07,7.11,4.24
3385,0.4,3,5,5.0,62.8,57.0,4.65,4.68,2.93
3386,0.5,5,4,3.5,61.4,57.0,5.13,5.1,3.14
3387,1.31,3,7,2.5,59.5,61.0,7.16,7.19,4.27
3388,0.57,5,4,2.5,61.8,57.0,5.3,5.32,3.28
3389,0.6,2,6,3.0,58.1,63.0,5.53,5.63,3.24
3390,0.51,5,5,2.0,61.3,56.0,5.19,5.16,3.17
3391,1.7,5,2,3.0,62.2,55.0,7.63,7.67,4.76
3392,0.31,5,1,2.5,62.3,54.0,4.35,4.38,2.72
3393,0.52,5,7,2.0,60.9,57.0,5.17,5.21,3.16
3394,0.73,4,6,3.0,61.3,59.0,5.81,5.78,3.55
3395,0.76,5,3,3.5,61.0,56.0,5.85,5.91,3.59
3396,2.01,4,2,2.0,60.1,59.0,8.24,8.19,4.94
3397,0.31,5,6,3.0,61.7,56.0,4.37,4.41,2.71
3398,0.77,3,7,2.0,59.9,59.0,5.9,5.95,3.55
3399,1.09,5,3,2.0,61.1,57.0,6.69,6.6,4.1
3400,1.78,4,3,3.0,60.2,59.0,7.96,7.83,4.75
3401,1.24,5,5,3.0,62.2,55.0,6.89,6.87,4.28
3402,1.52,4,6,1.5,62.0,62.0,7.2,7.13,4.44
3403,0.64,3,7,1.5,62.8,54.0,5.5,5.52,3.46
3404,0.91,2,6,1.0,57.7,63.0,6.35,6.3,3.65
3405,0.39,4,4,4.0,59.9,59.0,4.73,4.75,2.84
3406,0.3,3,7,2.5,62.8,57.0,4.29,4.31,2.7
3407,0.7,4,6,2.0,61.3,58.0,5.71,5.68,3.49
3408,0.56,5,7,2.5,61.2,56.0,5.3,5.35,3.26
3409,1.01,1,3,2.0,66.4,57.0,6.12,6.08,4.05
3410,1.52,4,4,1.0,61.7,58.0,7.43,7.34,4.56
3411,1.02,3,5,1.5,58.7,63.0,6.49,6.46,3.8
3412,0.45,5,4,2.0,62.0,54.0,4.95,4.98,3.08
3413,1.85,3,3,1.0,63.3,56.0,7.8,7.75,4.92
3414,0.32,5,6,2.5,61.4,57.0,4.46,4.4,2.72
3415,0.8,3,3,2.5,62.8,57.0,5.87,5.91,3.7
3416,0.41,5,7,2.0,62.2,57.0,4.76,4.7,2.94
3417,0.45,1,5,2.5,64.2,58.0,4.9,4.75,3.1
3418,1.0,1,2,2.5,65.7,58.0,6.25,6.2,4.09
3419,0.26,3,3,2.0,61.9,55.0,4.07,4.11,2.53
3420,1.62,5,4,2.0,62.2,56.0,7.48,7.53,4.67
3421,0.41,5,4,3.0,61.4,55.0,4.78,4.8,2.94
3422,1.22,5,6,2.0,61.7,56.0,6.92,6.88,4.26
3423,0.71,5,3,5.0,61.6,55.0,5.75,5.78,3.55
3424,0.54,5,4,3.5,61.8,56.0,5.23,5.25,3.24
3425,0.38,3,3,2.5,61.5,55.0,4.66,4.67,2.86
3426,1.31,4,4,3.0,61.5,59.0,7.06,7.0,4.32
3427,1.27,5,1,1.5,61.2,55.7,6.95,6.99,4.27
3428,0.53,5,6,2.5,61.7,58.0,5.16,5.27,3.22
3429,0.31,4,3,3.5,61.2,59.0,4.38,4.34,2.67
3430,0.48,3,7,5.0,60.6,55.0,5.08,5.12,3.09
3431,0.73,5,4,4.0,61.3,56.0,5.79,5.82,3.56
3432,1.09,5,4,3.5,62.5,56.0,6.54,6.58,4.1
3433,0.76,5,2,3.5,61.8,56.0,5.85,5.87,3.62
3434,0.32,5,4,3.0,60.8,57.0,4.42,4.39,2.68
3435,1.58,5,2,2.0,61.7,56.0,7.47,7.5,4.62
3436,1.01,3,5,1.5,59.1,57.0,6.57,6.62,3.9
3437,1.01,5,5,2.0,63.0,57.0,6.39,6.34,4.01
3438,1.0,3,2,2.0,63.2,56.0,6.37,6.31,4.01
3439,0.32,3,4,3.0,62.4,58.0,4.35,4.4,2.73
3440,0.4,5,5,3.0,61.8,54.0,4.75,4.77,2.94
3441,1.5,4,3,2.5,61.6,55.0,7.43,7.37,4.56
3442,1.53,4,7,2.0,61.6,58.0,7.42,7.35,4.55
3443,0.31,4,6,2.5,61.6,59.0,4.35,4.32,2.67
3444,1.05,3,3,1.5,63.8,58.0,6.38,6.45,4.09
3445,0.31,2,2,3.0,63.5,57.0,4.26,4.28,2.71
3446,1.22,5,5,2.5,61.3,56.0,6.87,6.92,4.23
3447,1.51,4,3,2.0,62.8,60.0,7.22,7.14,4.51
3448,0.25,3,5,4.0,62.2,56.0,4.02,4.03,2.5
3449,0.4,5,2,3.0,61.5,59.0,4.72,4.75,2.91
3450,0.33,5,7,2.5,62.3,57.0,4.41,4.45,2.76
3451,1.0,2,4,1.5,57.8,64.0,6.55,6.5,3.77
3452,0.41,4,6,4.0,60.7,58.0,4.86,4.8,2.93
3453,2.04,3,1,3.0,62.6,58.0,8.06,8.11,5.06
3454,0.31,3,6,2.5,62.6,56.0,4.3,4.33,2.7
3455,0.72,5,4,2.5,62.0,56.0,5.75,5.79,3.58
3456,0.3,3,2,2.5,60.5,55.0,4.34,4.37,2.63
3457,0.7,3,2,4.0,59.5,58.0,5.78,5.81,3.45
3458,0.7,2,5,3.0,63.7,55.0,5.56,5.61,3.56
3459,0.31,5,2,5.0,62.0,54.0,4.38,4.4,2.72
3460,1.57,5,4,2.0,61.8,55.0,7.49,7.43,4.61
3461,1.27,5,3,2.5,60.3,56.0,7.08,7.02,4.25
3462,0.48,4,5,2.5,60.1,59.0,5.12,5.1,3.07
3463,0.5,5,4,1.5,61.0,57.0,5.13,5.15,3.13
3464,0.59,3,7,2.0,62.8,57.0,5.32,5.38,3.36
3465,0.7,3,6,3.5,61.7,57.0,5.68,5.71,3.51
3466,0.31,5,7,2.5,61.2,55.0,4.39,4.37,2.68
3467,2.01,4,6,1.5,58.7,54.0,8.27,8.2,4.83
3468,0.43,5,4,5.0,61.3,55.0,4.86,4.89,2.99
3469,0.27,3,5,3.5,61.2,57.0,4.14,4.17,2.54
3470,0.3,5,3,2.0,62.9,57.0,4.29,4.26,2.69
3471,0.72,4,2,2.0,60.8,58.0,5.83,5.78,3.53
3472,1.21,5,3,3.0,62.7,56.0,6.79,6.84,4.27
3473,1.3,4,3,2.0,59.9,59.0,7.18,7.12,4.28
3474,0.52,5,4,3.5,61.7,56.0,5.14,5.16,3.18
3475,0.79,5,7,2.0,61.2,57.0,5.94,5.98,3.65
3476,1.08,4,6,2.0,59.6,60.0,6.73,6.66,3.99
3477,0.74,5,6,2.0,62.3,54.0,5.8,5.83,3.62
3478,2.23,4,1,2.0,62.1,59.0,8.29,8.33,5.16
3479,0.91,4,7,2.0,62.8,59.0,6.21,6.17,3.89
3480,0.9,3,6,1.5,59.5,61.0,6.24,6.3,3.73
3481,0.35,4,6,4.0,61.0,58.0,4.52,4.56,2.77
3482,0.31,4,6,3.5,60.8,55.0,4.43,4.38,2.68
3483,0.36,5,6,2.5,61.1,57.0,4.61,4.56,2.8
3484,0.5,1,5,1.0,68.3,58.0,4.91,4.78,3.32
3485,0.24,3,5,3.0,62.0,56.0,3.94,3.99,2.46
3486,0.41,5,6,2.5,61.6,55.0,4.79,4.75,2.94
3487,1.01,1,5,1.5,65.3,59.0,6.28,6.24,4.09
3488,0.4,5,6,4.0,61.7,55.0,4.76,4.74,2.93
3489,1.23,2,3,2.0,63.7,59.0,6.76,6.71,4.29
3490,1.53,3,6,1.5,59.3,58.0,7.54,7.57,4.48
3491,0.39,2,1,3.0,63.1,56.0,4.62,4.7,2.94
3492,0.99,3,4,2.0,62.8,56.0,6.34,6.36,3.99
3493,0.8,2,5,3.0,63.3,55.0,5.87,5.92,3.73
3494,0.55,3,7,2.0,60.7,58.0,5.24,5.3,3.2
3495,0.3,4,2,3.0,59.8,60.0,4.36,4.34,2.6
3496,2.01,4,5,1.5,59.5,59.0,8.24,8.15,4.88
3497,1.23,4,5,2.5,62.9,58.0,6.82,6.76,4.27
3498,0.73,5,7,3.0,61.9,55.0,5.78,5.81,3.59
3499,0.9,2,5,2.0,63.6,55.0,6.15,6.12,3.9
3500,1.09,4,6,1.5,61.4,58.0,6.67,6.63,4.08
3501,0.8,1,6,1.0,65.5,54.0,5.84,5.68,3.78
3502,0.97,1,4,1.0,57.2,60.0,6.59,6.36,3.72
3503,0.34,4,5,1.5,63.0,58.0,4.47,4.45,2.81
3504,1.5,4,4,1.0,60.3,61.0,7.39,7.34,4.44
3505,0.7,3,3,1.5,60.0,60.0,5.76,5.8,3.47
3506,1.09,5,4,3.0,62.1,55.1,6.57,6.63,4.1
3507,0.32,5,5,2.0,61.9,55.0,4.38,4.41,2.72
3508,0.7,5,6,3.5,62.3,53.7,5.67,5.72,3.55
3509,1.04,3,4,2.5,63.4,55.0,6.48,6.42,4.09
3510,1.22,5,6,1.5,62.7,57.0,6.84,6.81,4.28
3511,0.55,5,6,2.5,62.2,54.0,5.29,5.26,3.28
3512,0.3,3,6,3.5,62.9,55.0,4.25,4.27,2.68
3513,0.6,4,6,1.5,62.0,59.0,5.41,5.37,3.34
3514,1.78,4,6,1.5,60.5,59.0,7.89,7.8,4.75
3515,0.83,5,5,3.0,61.2,54.0,6.07,6.11,3.73
3516,0.36,5,7,2.0,59.5,56.0,4.68,4.63,2.77
3517,1.21,2,1,1.5,63.7,55.0,6.81,6.75,4.32
3518,1.01,3,3,3.0,62.0,60.0,6.43,6.38,3.97
3519,0.38,4,4,2.0,59.5,62.0,4.71,4.67,2.79
3520,1.5,3,3,2.5,63.4,57.0,7.27,7.2,4.59
3521,1.54,4,3,2.5,61.9,59.0,7.31,7.33,4.53
